시도,시군구,업종,당월
강원특별자치도,속초시,기술ㆍ직업훈련학원,42
강원특별자치도,속초시,기술사,0
강원특별자치도,속초시,기타외국식음식점,64
강원특별자치도,속초시,기타음식점,57
강원특별자치도,속초시,기타일반의원,7
강원특별자치도,속초시,꽃가게,54
강원특별자치도,속초시,내과ㆍ소아과의원,22
강원특별자치도,속초시,노래방,65
강원특별자치도,속초시,담배ㆍ복권소매업,33
강원특별자치도,속초시,당구장,48
강원특별자치도,속초시,독서실,12
강원특별자치도,속초시,동물병원,6
강원특별자치도,속초시,목욕탕,13
강원특별자치도,속초시,문구점,21
강원특별자치도,속초시,미용실,220
강원특별자치도,속초시,법무사,12
강원특별자치도,속초시,변호사,7
강원특별자치도,속초시,부동산중개업,246
강원특별자치도,속초시,분식점,124
강원특별자치도,속초시,사진촬영업,42
강원특별자치도,속초시,산부인과의원,5
강원특별자치도,속초시,생선가게,137
강원특별자치도,속초시,서점,15
강원특별자치도,속초시,세무사,18
강원특별자치도,속초시,세탁소,68
강원특별자치도,속초시,슈퍼마켓,50
강원특별자치도,속초시,스포츠교육기관,62
강원특별자치도,속초시,스포츠시설운영업,21
강원특별자치도,속초시,스포츠용품점,78
강원특별자치도,속초시,시계ㆍ귀금속점,15
강원특별자치도,속초시,식료품가게,134
강원특별자치도,속초시,신경정신과의원,0
강원특별자치도,속초시,신발가게,23
강원특별자치도,속초시,실내스크린골프점,24
강원특별자치도,속초시,실내장식가게,126
강원특별자치도,속초시,실외골프연습장,4
강원특별자치도,속초시,안경점,21
강원특별자치도,속초시,안과의원,4
강원특별자치도,속초시,애완용품점,35
강원특별자치도,속초시,약국,43
강원특별자치도,속초시,여관ㆍ모텔,102
강원특별자치도,속초시,여행사,12
강원특별자치도,속초시,예술학원,58
강원특별자치도,속초시,예식장,0
강원특별자치도,속초시,옷가게,247
강원특별자치도,속초시,의료용품가게,14
강원특별자치도,속초시,이륜자동차판매점,8
강원특별자치도,속초시,이발소,47
강원특별자치도,속초시,이비인후과의원,3
강원특별자치도,속초시,일반외과의원,11
강원특별자치도,속초시,일식음식점,145
강원특별자치도,속초시,자동차수리점,100
강원특별자치도,속초시,자전거판매점,6
