업종,시도,당월
내과ㆍ소아과의원,경기도,2821
내과ㆍ소아과의원,경상남도,698
내과ㆍ소아과의원,경상북도,543
내과ㆍ소아과의원,광주광역시,343
내과ㆍ소아과의원,대구광역시,619
내과ㆍ소아과의원,대전광역시,379
내과ㆍ소아과의원,부산광역시,864
내과ㆍ소아과의원,서울특별시,2545
내과ㆍ소아과의원,세종특별자치시,79
내과ㆍ소아과의원,울산광역시,227
내과ㆍ소아과의원,인천광역시,640
내과ㆍ소아과의원,전라남도,434
내과ㆍ소아과의원,전라북도,417
내과ㆍ소아과의원,제주특별자치도,172
내과ㆍ소아과의원,충청남도,442
내과ㆍ소아과의원,충청북도,334
노래방,강원특별자치도,758
노래방,경기도,6651
노래방,경상남도,1352
노래방,경상북도,1340
노래방,광주광역시,928
노래방,대구광역시,1387
노래방,대전광역시,1158
노래방,부산광역시,1378
노래방,서울특별시,5032
노래방,세종특별자치시,142
노래방,울산광역시,604
노래방,인천광역시,2141
노래방,전라남도,663
노래방,전라북도,746
노래방,제주특별자치도,293
노래방,충청남도,1118
노래방,충청북도,1043
담배ㆍ복권소매업,강원특별자치도,516
담배ㆍ복권소매업,경기도,1866
담배ㆍ복권소매업,경상남도,1009
담배ㆍ복권소매업,경상북도,1149
담배ㆍ복권소매업,광주광역시,266
담배ㆍ복권소매업,대구광역시,501
담배ㆍ복권소매업,대전광역시,273
담배ㆍ복권소매업,부산광역시,1068
담배ㆍ복권소매업,서울특별시,2020
담배ㆍ복권소매업,세종특별자치시,47
담배ㆍ복권소매업,울산광역시,221
담배ㆍ복권소매업,인천광역시,465
담배ㆍ복권소매업,전라남도,806
담배ㆍ복권소매업,전라북도,592
담배ㆍ복권소매업,제주특별자치도,166
담배ㆍ복권소매업,충청남도,590
담배ㆍ복권소매업,충청북도,507
당구장,강원특별자치도,703
당구장,경기도,4473
당구장,경상남도,989
당구장,경상북도,865
당구장,광주광역시,570
당구장,대구광역시,641
당구장,대전광역시,487
당구장,부산광역시,921
당구장,서울특별시,2909
당구장,세종특별자치시,104
당구장,울산광역시,451
당구장,인천광역시,1115
당구장,전라남도,750
당구장,전라북도,617
당구장,제주특별자치도,341
당구장,충청남도,774
당구장,충청북도,683
독서실,강원특별자치도,140
독서실,경기도,1735
독서실,경상남도,296
독서실,경상북도,233
독서실,광주광역시,287
독서실,대구광역시,364
독서실,대전광역시,248
독서실,부산광역시,350
독서실,서울특별시,2116
독서실,세종특별자치시,50
독서실,울산광역시,187
독서실,인천광역시,352
독서실,전라남도,156
독서실,전라북도,229
독서실,제주특별자치도,82
독서실,충청남도,192
독서실,충청북도,160
동물병원,강원특별자치도,108
동물병원,경기도,1203
동물병원,경상남도,308
동물병원,경상북도,296
동물병원,광주광역시,116
동물병원,대구광역시,192
동물병원,대전광역시,108
동물병원,부산광역시,262
동물병원,서울특별시,884
동물병원,세종특별자치시,29
동물병원,울산광역시,68
동물병원,인천광역시,219
동물병원,전라남도,186
동물병원,전라북도,179
동물병원,제주특별자치도,91
동물병원,충청남도,216
동물병원,충청북도,137
목욕탕,강원특별자치도,158
목욕탕,경기도,647
목욕탕,경상남도,702
목욕탕,경상북도,368
목욕탕,광주광역시,154
목욕탕,대구광역시,208
목욕탕,대전광역시,81
목욕탕,부산광역시,634
목욕탕,서울특별시,541
목욕탕,세종특별자치시,15
목욕탕,울산광역시,164
목욕탕,인천광역시,174
목욕탕,전라남도,280
목욕탕,전라북도,184
목욕탕,제주특별자치도,115
목욕탕,충청남도,188
목욕탕,충청북도,121
문구점,강원특별자치도,390
문구점,경기도,2621
문구점,경상남도,613
문구점,경상북도,558
문구점,광주광역시,285
문구점,대구광역시,394
문구점,대전광역시,339
문구점,부산광역시,586
문구점,서울특별시,1621
문구점,세종특별자치시,129
문구점,울산광역시,189
문구점,인천광역시,576
문구점,전라남도,424
문구점,전라북도,418
문구점,제주특별자치도,182
문구점,충청남도,511
문구점,충청북도,372
미용실,강원특별자치도,3894
미용실,경기도,26023
미용실,경상남도,7874
미용실,경상북도,6515
미용실,광주광역시,3625
미용실,대구광역시,6246
미용실,대전광역시,3626
미용실,부산광역시,7888
미용실,서울특별시,18973
미용실,세종특별자치시,546
미용실,울산광역시,2848
미용실,인천광역시,6081
미용실,전라남도,3993
미용실,전라북도,4334
미용실,제주특별자치도,1594
미용실,충청남도,4753
미용실,충청북도,3835
법무사,강원특별자치도,203
법무사,경기도,1356
법무사,경상남도,411
법무사,경상북도,275
법무사,광주광역시,239
법무사,대구광역시,344
법무사,대전광역시,181
법무사,부산광역시,485
법무사,서울특별시,2083
법무사,세종특별자치시,28
법무사,울산광역시,127
법무사,인천광역시,314
법무사,전라남도,249
법무사,전라북도,282
법무사,제주특별자치도,89
법무사,충청남도,231
법무사,충청북도,177
변리사,강원특별자치도,0
변리사,경기도,123
변리사,경상남도,8
변리사,경상북도,0
변리사,광주광역시,6
변리사,대구광역시,20
변리사,대전광역시,93
변리사,부산광역시,20
변리사,서울특별시,782
변리사,세종특별자치시,8
변리사,울산광역시,5
변리사,인천광역시,17
변리사,전라남도,0
변리사,전라북도,6
변리사,제주특별자치도,0
변리사,충청남도,3
변리사,충청북도,0
변호사,강원특별자치도,129
변호사,경기도,1137
변호사,경상남도,260
변호사,경상북도,124
변호사,광주광역시,243
변호사,대구광역시,309
변호사,대전광역시,262
변호사,부산광역시,511
변호사,서울특별시,4514
변호사,세종특별자치시,29
변호사,울산광역시,135
변호사,인천광역시,291
변호사,전라남도,91
변호사,전라북도,207
변호사,제주특별자치도,100
변호사,충청남도,174
변호사,충청북도,111
부동산중개업,강원특별자치도,3065
부동산중개업,경기도,42819
부동산중개업,경상남도,7209
부동산중개업,경상북도,4730
부동산중개업,광주광역시,4791
부동산중개업,대구광역시,6482
부동산중개업,대전광역시,3738
부동산중개업,부산광역시,9378
부동산중개업,서울특별시,35150
부동산중개업,세종특별자치시,1595
부동산중개업,울산광역시,2503
부동산중개업,인천광역시,8302
부동산중개업,전라남도,2744
부동산중개업,전라북도,3602
부동산중개업,제주특별자치도,2330
부동산중개업,충청남도,5103
부동산중개업,충청북도,3486
분식점,강원특별자치도,1699
분식점,경기도,12977
분식점,경상남도,3830
분식점,경상북도,2711
분식점,광주광역시,1518
분식점,대구광역시,2413
분식점,대전광역시,1798
분식점,부산광역시,3897
분식점,서울특별시,10180
분식점,세종특별자치시,289
분식점,울산광역시,854
분식점,인천광역시,2469
분식점,전라남도,1608
분식점,전라북도,2026
분식점,제주특별자치도,939
분식점,충청남도,2356
분식점,충청북도,2130
사진촬영업,강원특별자치도,514
사진촬영업,경기도,4654
사진촬영업,경상남도,748
사진촬영업,경상북도,646
사진촬영업,광주광역시,494
사진촬영업,대구광역시,815
사진촬영업,대전광역시,490
사진촬영업,부산광역시,1091
사진촬영업,서울특별시,6373
사진촬영업,세종특별자치시,119
사진촬영업,울산광역시,283
사진촬영업,인천광역시,945
사진촬영업,전라남도,437
사진촬영업,전라북도,536
사진촬영업,제주특별자치도,580
사진촬영업,충청남도,537
사진촬영업,충청북도,414
산부인과의원,강원특별자치도,34
산부인과의원,경기도,373
산부인과의원,경상남도,75
산부인과의원,경상북도,53
산부인과의원,광주광역시,58
산부인과의원,대구광역시,107
산부인과의원,대전광역시,55
산부인과의원,부산광역시,100
산부인과의원,서울특별시,528
산부인과의원,세종특별자치시,10
산부인과의원,울산광역시,40
산부인과의원,인천광역시,80
산부인과의원,전라남도,19
산부인과의원,전라북도,47
산부인과의원,제주특별자치도,24
산부인과의원,충청남도,43
산부인과의원,충청북도,39
생선가게,강원특별자치도,707
생선가게,경기도,1533
생선가게,경상남도,1151
생선가게,경상북도,1173
생선가게,광주광역시,374
생선가게,대구광역시,295
생선가게,대전광역시,175
생선가게,부산광역시,1174
생선가게,서울특별시,1469
생선가게,세종특별자치시,26
생선가게,울산광역시,463
생선가게,인천광역시,891
생선가게,전라남도,1957
생선가게,전라북도,690
생선가게,제주특별자치도,537
생선가게,충청남도,844
생선가게,충청북도,200
서점,강원특별자치도,276
서점,경기도,2423
서점,경상남도,526
서점,경상북도,428
서점,광주광역시,273
서점,대구광역시,494
서점,대전광역시,339
서점,부산광역시,549
서점,서울특별시,1810
서점,세종특별자치시,113
서점,울산광역시,201
서점,인천광역시,452
서점,전라남도,282
서점,전라북도,355
서점,제주특별자치도,194
서점,충청남도,393
서점,충청북도,261
성형외과의원,강원특별자치도,14
성형외과의원,경기도,184
성형외과의원,경상남도,43
성형외과의원,경상북도,15
성형외과의원,광주광역시,44
성형외과의원,대구광역시,79
성형외과의원,대전광역시,43
성형외과의원,부산광역시,139
성형외과의원,서울특별시,844
성형외과의원,세종특별자치시,6
성형외과의원,울산광역시,18
성형외과의원,인천광역시,51
성형외과의원,전라남도,11
성형외과의원,전라북도,26
성형외과의원,제주특별자치도,15
성형외과의원,충청남도,23
성형외과의원,충청북도,25
세무사,강원특별자치도,184
세무사,경기도,3273
세무사,경상남도,457
세무사,경상북도,235
세무사,광주광역시,352
세무사,대구광역시,587
세무사,대전광역시,303
세무사,부산광역시,1076
세무사,서울특별시,5984
세무사,세종특별자치시,58
세무사,울산광역시,189
세무사,인천광역시,600
세무사,전라남도,128
세무사,전라북도,297
세무사,제주특별자치도,136
세무사,충청남도,289
세무사,충청북도,185
세탁소,강원특별자치도,976
세탁소,경기도,6009
세탁소,경상남도,1400
세탁소,경상북도,1379
세탁소,광주광역시,947
세탁소,대구광역시,989
세탁소,대전광역시,922
세탁소,부산광역시,1423
세탁소,서울특별시,4827
세탁소,세종특별자치시,132
세탁소,울산광역시,480
세탁소,인천광역시,1403
세탁소,전라남도,948
세탁소,전라북도,1005
세탁소,제주특별자치도,592
세탁소,충청남도,1171
