업종,시도,시군구,당월,전월,전년동월
가전제품판매점,충청북도,충주시,63,65,64
가전제품판매점,충청북도,제천시,37,38,41
가전제품판매점,충청북도,보은군,11,11,12
가전제품판매점,충청북도,옥천군,12,12,13
가전제품판매점,충청북도,영동군,7,7,7
가전제품판매점,충청북도,증평군,12,12,14
가전제품판매점,충청북도,진천군,15,14,17
가전제품판매점,충청북도,괴산군,4,4,5
가전제품판매점,충청북도,음성군,34,34,38
가전제품판매점,충청북도,단양군,8,9,10
가전제품판매점,충청남도,천안시 동남구,71,71,76
가전제품판매점,충청남도,천안시 서북구,63,63,62
가전제품판매점,충청남도,공주시,34,34,34
가전제품판매점,충청남도,보령시,34,34,33
가전제품판매점,충청남도,아산시,69,69,66
가전제품판매점,충청남도,서산시,54,54,55
가전제품판매점,충청남도,논산시,45,44,44
가전제품판매점,충청남도,계룡시,7,7,6
가전제품판매점,충청남도,당진시,42,42,43
가전제품판매점,충청남도,금산군,19,19,18
가전제품판매점,충청남도,부여군,15,15,13
가전제품판매점,충청남도,서천군,14,14,14
가전제품판매점,충청남도,청양군,13,13,13
가전제품판매점,충청남도,홍성군,37,38,38
가전제품판매점,충청남도,예산군,21,21,19
가전제품판매점,충청남도,태안군,17,17,16
가전제품판매점,전라북도,전주시 완산구,114,116,122
가전제품판매점,전라북도,전주시 덕진구,98,98,102
가전제품판매점,전라북도,군산시,82,82,89
가전제품판매점,전라북도,익산시,98,98,89
가전제품판매점,전라북도,정읍시,33,33,34
가전제품판매점,전라북도,남원시,23,23,25
가전제품판매점,전라북도,김제시,15,15,16
가전제품판매점,전라북도,완주군,22,22,20
가전제품판매점,전라북도,진안군,5,5,5
가전제품판매점,전라북도,무주군,7,7,7
가전제품판매점,전라북도,장수군,5,5,6
가전제품판매점,전라북도,임실군,6,6,7
가전제품판매점,전라북도,순창군,5,5,5
가전제품판매점,전라북도,고창군,14,14,15
가전제품판매점,전라북도,부안군,10,10,11
가전제품판매점,전라남도,목포시,101,101,107
가전제품판매점,전라남도,여수시,79,79,80
가전제품판매점,전라남도,순천시,95,94,102
가전제품판매점,전라남도,나주시,29,29,29
가전제품판매점,전라남도,광양시,53,51,49
가전제품판매점,전라남도,담양군,13,13,11
가전제품판매점,전라남도,곡성군,10,10,9
가전제품판매점,전라남도,구례군,8,8,7
가전제품판매점,전라남도,고흥군,24,24,24
가전제품판매점,전라남도,보성군,21,21,21
가전제품판매점,전라남도,화순군,8,8,8
가전제품판매점,전라남도,장흥군,13,13,14
가전제품판매점,전라남도,강진군,16,16,14
가전제품판매점,전라남도,해남군,33,33,32
가전제품판매점,전라남도,영암군,18,18,17
가전제품판매점,전라남도,무안군,26,26,24
가전제품판매점,전라남도,함평군,9,9,9
가전제품판매점,전라남도,영광군,11,11,11
가전제품판매점,전라남도,장성군,6,6,6
가전제품판매점,전라남도,완도군,11,11,13
가전제품판매점,전라남도,진도군,8,8,8
가전제품판매점,전라남도,신안군,8,8,8
가전제품판매점,경상북도,포항시 남구,93,94,86
가전제품판매점,경상북도,포항시 북구,84,84,84
가전제품판매점,경상북도,경주시,64,65,61
가전제품판매점,경상북도,김천시,37,37,38
가전제품판매점,경상북도,안동시,59,59,57
가전제품판매점,경상북도,구미시,101,101,100
가전제품판매점,경상북도,영주시,38,38,38
가전제품판매점,경상북도,영천시,26,25,27
가전제품판매점,경상북도,상주시,35,35,35
가전제품판매점,경상북도,문경시,27,27,26
가전제품판매점,경상북도,경산시,54,53,54
가전제품판매점,경상북도,의성군,17,17,19
가전제품판매점,경상북도,청송군,11,11,10
가전제품판매점,경상북도,영양군,4,4,4
가전제품판매점,경상북도,영덕군,13,13,12
가전제품판매점,경상북도,청도군,8,9,9
가전제품판매점,경상북도,고령군,10,10,10
가전제품판매점,경상북도,성주군,9,9,11
가전제품판매점,경상북도,칠곡군,27,27,29
가전제품판매점,경상북도,예천군,21,21,19
가전제품판매점,경상북도,봉화군,6,6,6
가전제품판매점,경상북도,울진군,17,17,18
가전제품판매점,경상북도,울릉군,6,6,7
가전제품판매점,경상남도,창원시 의창구,78,78,87
가전제품판매점,경상남도,창원시 성산구,40,40,44
가전제품판매점,경상남도,창원시 마산합포구,58,57,56
가전제품판매점,경상남도,창원시 마산회원구,40,41,39
가전제품판매점,경상남도,창원시 진해구,20,20,20
가전제품판매점,경상남도,진주시,102,102,104
가전제품판매점,경상남도,통영시,33,32,34
가전제품판매점,경상남도,사천시,30,30,31
가전제품판매점,경상남도,김해시,90,89,95
가전제품판매점,경상남도,밀양시,29,29,32
가전제품판매점,경상남도,거제시,39,40,42
가전제품판매점,경상남도,양산시,71,71,68
가전제품판매점,경상남도,의령군,6,6,6
가전제품판매점,경상남도,함안군,5,5,5
가전제품판매점,경상남도,창녕군,15,15,16
가전제품판매점,경상남도,고성군,13,13,12
가전제품판매점,경상남도,남해군,17,17,17
가전제품판매점,경상남도,하동군,11,11,10
가전제품판매점,경상남도,산청군,10,10,10
가전제품판매점,경상남도,함양군,8,8,11
가전제품판매점,경상남도,거창군,22,22,22
가전제품판매점,경상남도,합천군,14,14,15
가전제품판매점,제주특별자치도,제주시,199,199,200
가전제품판매점,제주특별자치도,서귀포시,62,62,62
가전제품판매점,강원특별자치도,춘천시,107,108,110
가전제품판매점,강원특별자치도,원주시,117,116,112
가전제품판매점,강원특별자치도,강릉시,71,71,70
가전제품판매점,강원특별자치도,동해시,18,18,20
가전제품판매점,강원특별자치도,태백시,15,15,14
가전제품판매점,강원특별자치도,속초시,30,30,30
가전제품판매점,강원특별자치도,삼척시,20,20,21
가전제품판매점,강원특별자치도,홍천군,16,16,15
가전제품판매점,강원특별자치도,횡성군,11,11,11
가전제품판매점,강원특별자치도,영월군,6,6,6
가전제품판매점,강원특별자치도,평창군,11,11,10
가전제품판매점,강원특별자치도,정선군,8,8,7
가전제품판매점,강원특별자치도,철원군,15,15,15
가전제품판매점,강원특별자치도,화천군,4,4,4
가전제품판매점,강원특별자치도,양구군,5,5,6
가전제품판매점,강원특별자치도,인제군,8,8,10
가전제품판매점,강원특별자치도,고성군,8,8,8
가전제품판매점,강원특별자치도,양양군,8,8,8
건강보조식품가게,서울특별시,종로구,81,83,78
건강보조식품가게,서울특별시,중구,78,79,71
건강보조식품가게,서울특별시,용산구,63,59,54
건강보조식품가게,서울특별시,성동구,60,58,56
건강보조식품가게,서울특별시,광진구,93,93,90
건강보조식품가게,서울특별시,동대문구,253,256,249
건강보조식품가게,서울특별시,중랑구,78,80,81
건강보조식품가게,서울특별시,성북구,56,56,62
건강보조식품가게,서울특별시,강북구,60,60,59
건강보조식품가게,서울특별시,도봉구,57,57,51
건강보조식품가게,서울특별시,노원구,83,84,79
건강보조식품가게,서울특별시,은평구,89,89,80
건강보조식품가게,서울특별시,서대문구,59,62,66
건강보조식품가게,서울특별시,마포구,94,94,83
건강보조식품가게,서울특별시,양천구,110,108,107
건강보조식품가게,서울특별시,강서구,138,142,129
건강보조식품가게,서울특별시,구로구,106,107,97
건강보조식품가게,서울특별시,금천구,69,70,67
건강보조식품가게,서울특별시,영등포구,115,115,105
건강보조식품가게,서울특별시,동작구,76,77,72
건강보조식품가게,서울특별시,관악구,118,116,113
건강보조식품가게,서울특별시,서초구,159,160,157
건강보조식품가게,서울특별시,강남구,272,264,271
건강보조식품가게,서울특별시,송파구,198,197,185
건강보조식품가게,서울특별시,강동구,121,124,123
건강보조식품가게,부산광역시,중구,43,45,43
건강보조식품가게,부산광역시,서구,18,18,18
건강보조식품가게,부산광역시,동구,37,37,35
건강보조식품가게,부산광역시,영도구,21,19,17
건강보조식품가게,부산광역시,부산진구,181,181,173
건강보조식품가게,부산광역시,동래구,105,104,105
건강보조식품가게,부산광역시,남구,64,65,65
건강보조식품가게,부산광역시,북구,49,52,50
건강보조식품가게,부산광역시,해운대구,91,90,89
건강보조식품가게,부산광역시,사하구,55,56,60
건강보조식품가게,부산광역시,금정구,58,55,58
건강보조식품가게,부산광역시,강서구,19,18,15
건강보조식품가게,부산광역시,연제구,69,68,60
건강보조식품가게,부산광역시,수영구,38,37,37
건강보조식품가게,부산광역시,사상구,26,26,33
건강보조식품가게,부산광역시,기장군,31,32,33
건강보조식품가게,대구광역시,중구,96,97,105
건강보조식품가게,대구광역시,동구,90,90,87
건강보조식품가게,대구광역시,서구,46,44,39
